,structure,folder,real_cutoff,reciprocal_cutoff
0,structure001,rattled,2,1
0,structure001draw10,rattled,2,1
0,structure001draw11,rattled,2,1
0,structure001draw12,rattled,2,1
0,structure001draw13,rattled,2,1
0,structure001draw14,rattled,2,1
0,structure001draw15,rattled,2,1
0,structure001draw16,rattled,2,1
0,structure001draw17,rattled,2,1
0,structure001draw18,rattled,2,1
0,structure001draw19,rattled,2,1
0,structure001draw20,rattled,2,1
0,structure001draw21,rattled,2,1
0,structure001draw22,rattled,2,1
0,structure001draw23,rattled,2,1
0,structure001draw24,rattled,2,1
0,structure001draw25,rattled,2,1
0,structure001draw26,rattled,2,1
0,structure001draw27,rattled,2,1
0,structure001draw28,rattled,2,1
0,structure001draw29,rattled,2,1
0,structure001draw2,rattled,2,1
0,structure001draw30,rattled,2,1
0,structure001draw31,rattled,2,1
0,structure001draw32,rattled,2,1
0,structure001draw33,rattled,2,1
0,structure001draw34,rattled,2,1
0,structure001draw35,rattled,2,1
0,structure001draw36,rattled,2,1
0,structure001draw37,rattled,2,1
0,structure001draw38,rattled,2,1
0,structure001draw39,rattled,2,1
0,structure001draw3,rattled,2,1
0,structure001draw40,rattled,2,1
0,structure001draw4,rattled,2,1
0,structure001draw5,rattled,2,1
0,structure001draw6,rattled,2,1
0,structure001draw7,rattled,2,1
0,structure001draw8,rattled,2,1
0,structure001draw9,rattled,2,1
0,structure0015,rattled,2,1
0,structure0015draw10,rattled,2,1
0,structure0015draw11,rattled,2,1
0,structure0015draw12,rattled,2,1
0,structure0015draw13,rattled,2,1
0,structure0015draw14,rattled,2,1
0,structure0015draw15,rattled,2,1
0,structure0015draw16,rattled,2,1
0,structure0015draw17,rattled,2,1
0,structure0015draw18,rattled,2,1
0,structure0015draw19,rattled,2,1
0,structure0015draw20,rattled,2,1
0,structure0015draw21,rattled,2,1
0,structure0015draw22,rattled,2,1
0,structure0015draw23,rattled,2,1
0,structure0015draw24,rattled,2,1
0,structure0015draw25,rattled,2,1
0,structure0015draw26,rattled,2,1
0,structure0015draw27,rattled,2,1
0,structure0015draw28,rattled,2,1
0,structure0015draw29,rattled,2,1
0,structure0015draw2,rattled,2,1
0,structure0015draw30,rattled,2,1
0,structure0015draw31,rattled,2,1
0,structure0015draw32,rattled,2,1
0,structure0015draw33,rattled,2,1
0,structure0015draw34,rattled,2,1
0,structure0015draw35,rattled,2,1
0,structure0015draw36,rattled,2,1
0,structure0015draw37,rattled,2,1
0,structure0015draw38,rattled,2,1
0,structure0015draw39,rattled,2,1
0,structure0015draw3,rattled,2,1
0,structure0015draw40,rattled,2,1
0,structure0015draw4,rattled,2,1
0,structure0015draw5,rattled,2,1
0,structure0015draw6,rattled,2,1
0,structure0015draw7,rattled,2,1
0,structure0015draw8,rattled,2,1
0,structure0015draw9,rattled,2,1
0,structure002,rattled,2,1
0,structure002draw10,rattled,2,1
0,structure002draw11,rattled,2,1
0,structure002draw12,rattled,2,1
0,structure002draw13,rattled,2,1
0,structure002draw14,rattled,2,1
0,structure002draw15,rattled,2,1
0,structure002draw16,rattled,2,1
0,structure002draw17,rattled,2,1
0,structure002draw18,rattled,2,1
0,structure002draw19,rattled,2,1
0,structure002draw20,rattled,2,1
0,structure002draw21,rattled,2,1
0,structure002draw22,rattled,2,1
0,structure002draw23,rattled,2,1
0,structure002draw24,rattled,2,1
0,structure002draw25,rattled,2,1
0,structure002draw26,rattled,2,1
0,structure002draw27,rattled,2,1
0,structure002draw28,rattled,2,1
0,structure002draw29,rattled,2,1
0,structure002draw2,rattled,2,1
0,structure002draw30,rattled,2,1
0,structure002draw31,rattled,2,1
0,structure002draw32,rattled,2,1
0,structure002draw33,rattled,2,1
0,structure002draw34,rattled,2,1
0,structure002draw35,rattled,2,1
0,structure002draw36,rattled,2,1
0,structure002draw37,rattled,2,1
0,structure002draw38,rattled,2,1
0,structure002draw39,rattled,2,1
0,structure002draw3,rattled,2,1
0,structure002draw40,rattled,2,1
0,structure002draw4,rattled,2,1
0,structure002draw5,rattled,2,1
0,structure002draw6,rattled,2,1
0,structure002draw7,rattled,2,1
0,structure002draw8,rattled,2,1
0,structure002draw9,rattled,2,1
0,structure01,rattled,2,1
0,structure01draw10,rattled,2,1
0,structure01draw11,rattled,2,1
0,structure01draw12,rattled,2,1
0,structure01draw13,rattled,2,1
0,structure01draw14,rattled,2,1
0,structure01draw15,rattled,2,1
0,structure01draw16,rattled,2,1
0,structure01draw17,rattled,2,1
0,structure01draw18,rattled,2,1
0,structure01draw19,rattled,2,1
0,structure01draw20,rattled,2,1
0,structure01draw21,rattled,2,1
0,structure01draw22,rattled,2,1
0,structure01draw23,rattled,2,1
0,structure01draw24,rattled,2,1
0,structure01draw25,rattled,2,1
0,structure01draw26,rattled,2,1
0,structure01draw27,rattled,2,1
0,structure01draw28,rattled,2,1
0,structure01draw29,rattled,2,1
0,structure01draw2,rattled,2,1
0,structure01draw30,rattled,2,1
0,structure01draw31,rattled,2,1
0,structure01draw32,rattled,2,1
0,structure01draw33,rattled,2,1
0,structure01draw34,rattled,2,1
0,structure01draw35,rattled,2,1
0,structure01draw36,rattled,2,1
0,structure01draw37,rattled,2,1
0,structure01draw38,rattled,2,1
0,structure01draw39,rattled,2,1
0,structure01draw3,rattled,2,1
0,structure01draw40,rattled,2,1
0,structure01draw4,rattled,2,1
0,structure01draw5,rattled,2,1
0,structure01draw6,rattled,2,1
0,structure01draw7,rattled,2,1
0,structure01draw8,rattled,2,1
0,structure01draw9,rattled,2,1
0,structure1,rattled,2,1
0,structure1draw10,rattled,2,1
0,structure1draw11,rattled,2,1
0,structure1draw12,rattled,2,1
0,structure1draw13,rattled,2,1
0,structure1draw14,rattled,2,1
0,structure1draw15,rattled,2,1
0,structure1draw16,rattled,2,1
0,structure1draw17,rattled,2,1
0,structure1draw18,rattled,2,1
0,structure1draw19,rattled,2,1
0,structure1draw20,rattled,2,1
0,structure1draw21,rattled,2,1
0,structure1draw22,rattled,2,1
0,structure1draw23,rattled,2,1
0,structure1draw24,rattled,2,1
0,structure1draw25,rattled,2,1
0,structure1draw26,rattled,2,1
0,structure1draw27,rattled,2,1
0,structure1draw28,rattled,2,1
0,structure1draw29,rattled,2,1
0,structure1draw2,rattled,2,1
0,structure1draw30,rattled,2,1
0,structure1draw31,rattled,2,1
0,structure1draw32,rattled,2,1
0,structure1draw33,rattled,2,1
0,structure1draw34,rattled,2,1
0,structure1draw35,rattled,2,1
0,structure1draw36,rattled,2,1
0,structure1draw37,rattled,2,1
0,structure1draw38,rattled,2,1
0,structure1draw39,rattled,2,1
0,structure1draw3,rattled,2,1
0,structure1draw40,rattled,2,1
0,structure1draw4,rattled,2,1
0,structure1draw5,rattled,2,1
0,structure1draw6,rattled,2,1
0,structure1draw7,rattled,2,1
0,structure1draw8,rattled,2,1
0,structure1draw9,rattled,2,1
