structure,Unnamed: 0,folder,interatomic_custom,interatomic_lammps,method,folder_gulp,interatomic_gulp
structure100,0,random,76.4681736817323,76.46817368173299,conj,random,76.45977368
structure101,0,random,184.41470372858086,184.4147037285812,conj,random,184.40927873
structure102,0,random,355.0149136098475,355.01491360985193,conj,random,355.00231361
structure103,0,random,68.24027636255667,68.24027636255694,conj,random,68.23870136
structure104,0,random,32.51983339238676,32.51965839385251,conj,random,32.5172084
structure105,0,random,60.194218919484186,60.19421891948418,conj,random,60.18791893
structure106,0,random,152.51987749902858,152.51987749902833,conj,random,152.5162025
structure107,0,random,184.06922830759947,184.0692283075993,conj,random,184.06030331
structure108,0,random,20.161507953548906,20.16150795354884,conj,random,20.16133295
structure109,0,random,51.40957004625882,51.4095700462589,conj,random,51.40519506
structure10,0,random,67.412364991336,67.4123649913363,conj,random,67.41236499
structure110,0,random,114.44233212343175,114.44233212343184,conj,random,114.43550712
structure111,0,random,76.0406822530351,76.04068225303554,conj,random,76.03858225
structure112,0,random,101.40247474745425,101.40229974892051,conj,random,101.39827475
structure113,0,random,125.61711386479004,125.61693886625565,conj,random,125.61221388
structure114,0,random,144.9049023415659,144.90455234449772,conj,random,144.90070234
structure115,0,random,87.57093614958032,87.56988615837601,conj,random,87.56656116
structure116,0,random,130.94249847456922,130.94249847456874,conj,random,130.93899847
structure117,0,random,13.283752107699351,13.283752107699401,conj,random,13.28060211
structure118,0,random,46.3823578772683,46.382357877268284,conj,random,46.37920788
structure119,0,random,160.81862184871224,160.8186218487118,conj,random,160.81249686
structure11,0,random,116.44767411628618,116.44767411628649,conj,random,116.44469913
structure120,0,random,109.13316009680081,109.13246010266407,conj,random,109.1277351
structure121,0,random,68.22125115988509,68.22125115988557,conj,random,68.21862616
structure122,0,random,83.75542874388178,83.75542874388178,conj,random,83.75315375
structure123,0,random,54.85313868882897,54.85313868882884,conj,random,54.84823869
structure124,0,random,191.17513472299385,191.1751347229937,conj,random,191.16953472
structure125,0,random,16.06118820060215,16.060838203533535,conj,random,16.05733821
structure126,0,random,132.10479627015124,132.10479627015067,conj,random,132.09849629
structure127,0,random,55.43451164667631,55.43451164667649,conj,random,55.43398665
structure128,0,random,233.03626205099118,233.03626205099025,conj,random,233.02961205
structure129,0,random,93.8530549173737,93.85305491737408,conj,random,93.85042992
structure12,0,random,164.04722465725334,164.04722465725303,conj,random,164.03829966
structure130,0,random,104.870981489875,104.87080649134113,conj,random,104.86520651
structure131,0,random,76.33062888621131,76.33062888621157,conj,random,76.32327889
structure132,0,random,28.698009372947197,28.697659375878466,conj,random,28.69363438
structure133,0,random,34.63526908847155,34.635269088471425,conj,random,34.6310691
structure134,0,random,171.03454218920427,171.03454218920297,conj,random,171.02509219
structure135,0,random,47.420674686567395,47.41997469243035,conj,random,47.41699969
structure136,0,random,115.9970909519384,115.99691595340437,conj,random,115.99289096
structure137,0,random,0.4006645961905678,0.40066459619056494,conj,random,0.4006646
structure138,0,random,55.03680000054701,55.03680000054707,conj,random,55.0333
structure139,0,random,66.48240171283604,66.48240171283602,conj,random,66.48240171
structure13,0,random,39.804594342402275,39.804244345333686,conj,random,39.80039435
structure140,0,random,61.89751870344571,61.89681870930879,conj,random,61.8961187
structure141,0,random,68.99199534271273,68.99164534564426,conj,random,68.98814534
structure142,0,random,91.63470551716914,91.63470551716951,conj,random,91.63365552
structure143,0,random,57.26942041989758,57.26942041989755,conj,random,57.26714543
structure144,0,random,74.24877400146043,74.24877400146084,conj,random,74.24317401
structure145,0,random,36.4015861452548,36.4010611496519,conj,random,36.39721116
structure146,0,random,189.6681451303718,189.66814513037198,conj,random,189.65922013
structure147,0,random,30.679503935920742,30.67932893738627,conj,random,30.67547895
structure148,0,random,251.41705271396808,251.41705271396745,conj,random,251.41040271
structure149,0,random,100.1931074389322,100.19310743893257,conj,random,100.19153244
structure14,0,random,120.9562942340082,120.9562942340082,conj,random,120.95471923
structure150,0,random,263.18078219070173,263.1807821907061,conj,random,263.17115719
structure151,0,random,119.31924511022413,119.31854511608731,conj,random,119.31592012
structure152,0,random,101.30280794633087,101.30245794926272,conj,random,101.29983295
structure153,0,random,23.540728148856143,23.540728148856058,conj,random,23.53880315
structure154,0,random,38.20985124363914,38.209851243639186,conj,random,38.20740124
structure155,0,random,365.7154492013645,365.715449201372,conj,random,365.7028492
structure156,0,random,92.98240142830551,92.98205143123705,conj,random,92.97785143
structure157,0,random,87.836171286137,87.83617128613726,conj,random,87.83459629
structure158,0,random,39.93473125151349,39.9347312515135,conj,random,39.93315625
structure159,0,random,219.8477104942681,219.847710494267,conj,random,219.84071049
structure15,0,random,73.12389393014155,73.12354393307328,conj,random,73.11969394
structure160,0,random,38.32345628632164,38.32345628632163,conj,random,38.32293129
structure161,0,random,244.45820144035088,244.45820144035085,conj,random,244.45155144
structure162,0,random,66.324578701815,66.32457870181521,conj,random,66.3245787
structure163,0,random,181.61281292276524,181.61281292276573,conj,random,181.60826292
structure164,0,random,7.330097522789557,7.329572527186759,conj,random,7.32607253
structure165,0,random,201.31370986463557,201.3130098705001,conj,random,201.30810986
structure166,0,random,58.40261449602316,58.40208950042039,conj,random,58.3992895
structure167,0,random,36.85804052203914,36.8580405220389,conj,random,36.85419053
structure168,0,random,32.41028389454163,32.410283894541585,conj,random,32.40870889
structure169,0,random,36.510891362612796,36.51089136261269,conj,random,36.50739137
structure16,0,random,363.5155166412677,363.51551664127237,conj,random,363.50186664
structure170,0,random,142.24568058850275,142.24533059143425,conj,random,142.2395556
structure171,0,random,38.88042340849543,38.88007341142708,conj,random,38.87954841
structure172,0,random,35.07183852449645,35.071838524496414,conj,random,35.06851352
structure173,0,random,68.13912449662088,68.13877449955235,conj,random,68.1338745
structure174,0,random,131.3615738605138,131.36157386051352,conj,random,131.35754887
structure175,0,random,108.53800232538076,108.53800232538099,conj,random,108.53450233
structure176,0,random,102.92399952834288,102.92364953127468,conj,random,102.91804955
structure177,0,random,45.82455107798207,45.82385108384509,conj,random,45.82175108
structure178,0,random,54.71874378046725,54.718393783398746,conj,random,54.71524378
structure179,0,random,42.94758564264637,42.94758564264631,conj,random,42.94461065
structure17,0,random,101.95365892967924,101.95330893261124,conj,random,101.94875893
structure180,0,random,164.33422050165572,164.33422050165575,conj,random,164.3242455
structure181,0,random,49.61014300582982,49.609968007295684,conj,random,49.60821801
structure182,0,random,75.26643164629114,75.26573165215444,conj,random,75.26345665
structure183,0,random,119.26030545098106,119.26030545098172,conj,random,119.25418045
structure184,0,random,93.59464633188351,93.59464633188351,conj,random,93.59219633
structure185,0,random,78.76740711067356,78.76723211213948,conj,random,78.76250713
structure186,0,random,35.276645003040706,35.276295005972216,conj,random,35.275595
structure187,0,random,320.59505672089836,320.595056720902,conj,random,320.58735672
structure188,0,random,58.96254597050806,58.96254597050818,conj,random,58.95729597
structure189,0,random,71.36472179467734,71.36472179467734,conj,random,71.36139679
structure18,0,random,130.33639186973915,130.33604187267133,conj,random,130.33026688
structure190,0,random,112.86614866032578,112.86614866032572,conj,random,112.86194866
structure191,0,random,39.30896966598056,39.30861966891187,conj,random,39.30669467
structure192,0,random,13.266298092740026,13.266123094205769,conj,random,13.2633231
structure193,0,random,226.0978402742033,226.0978402742037,conj,random,226.09084027
structure194,0,random,12.038870971241042,12.038870971241035,conj,random,12.03554597
structure195,0,random,42.732554204139774,42.7323792056056,conj,random,42.73062921
structure196,0,random,187.01224835038315,187.01224835038403,conj,random,187.00279835
structure197,0,random,122.77695973570984,122.77695973570977,conj,random,122.77293474
structure198,0,random,113.64449603308121,113.64414603601328,conj,random,113.64029603
structure199,0,random,370.8910744115252,370.89107441153175,conj,random,370.87742441
structure19,0,random,43.28709336981578,43.28709336981594,conj,random,43.28604337
structure1,0,random,97.0201341096753,97.0196091140734,conj,random,97.01435912
structure200,0,random,103.26979370752471,103.26979370752495,conj,random,103.26314371
structure20,0,random,114.61524427540155,114.61524427540172,conj,random,114.60876928
structure21,0,random,78.7097044857945,78.7097044857954,conj,random,78.7044545
structure22,0,random,130.14872664827422,130.14872664827462,conj,random,130.14522665
structure23,0,random,83.68053653290326,83.68001153730052,conj,random,83.67721154
structure24,0,random,129.44485593298538,129.44485593298452,conj,random,129.44223093
structure25,0,random,99.75467645779815,99.7543264607301,conj,random,99.74960147
structure26,0,random,99.26274618219445,99.26134619392042,conj,random,99.25627118
structure27,0,random,344.81673075021797,344.8167307502233,conj,random,344.80308075
structure28,0,random,51.39743935768695,51.39708936061838,conj,random,51.39358936
structure29,0,random,146.51035339682002,146.50965340268283,conj,random,146.50352841
structure2,0,random,29.99232228692535,29.992322286925226,conj,random,29.98812229
structure30,0,random,41.51554675264122,41.515546752641185,conj,random,41.51239675
structure31,0,random,148.31675308106438,148.31622808546092,conj,random,148.31097809
structure32,0,random,9.339763599989617,9.33941360292108,conj,random,9.3362636
structure33,0,random,41.832849391839616,41.832849391839524,conj,random,41.83284939
structure34,0,random,142.3675824247399,142.36758242474008,conj,random,142.36758242
structure35,0,random,198.3095900429029,198.3088900487669,conj,random,198.30259004
structure36,0,random,137.6312036311723,137.63120363117213,conj,random,137.62735363
structure37,0,random,64.86343270855713,64.86325771002299,conj,random,64.85783272
structure38,0,random,164.88098634006218,164.8809863400628,conj,random,164.88098634
structure39,0,random,108.20018246201613,108.20000746348222,conj,random,108.19475747
structure3,0,random,170.97334568815418,170.97334568815387,conj,random,170.97334569
structure40,0,random,70.5152007461741,70.51520074617433,conj,random,70.51135075
structure41,0,random,52.61425331121242,52.61425331121242,conj,random,52.61425331
structure42,0,random,23.42198646049918,23.421461464896364,conj,random,23.41936146
structure43,0,random,103.09964385847488,103.09964385847513,conj,random,103.09229386
structure44,0,random,14.134282374588171,14.133407381916895,conj,random,14.12990738
structure45,0,random,131.6497585560911,131.64975855609129,conj,random,131.64310856
structure46,0,random,207.3839981170632,207.383998117063,conj,random,207.37402312
structure47,0,random,50.363958237438354,50.363608240369814,conj,random,50.36133324
structure48,0,random,126.47111808308607,126.47041808894886,conj,random,126.46884309
structure49,0,random,76.94577404986772,76.94542405279915,conj,random,76.94507405
structure4,0,random,86.73882635065466,86.73882635065429,conj,random,86.73882635
structure50,0,random,95.41054708336522,95.41054708336563,conj,random,95.40372208
structure51,0,random,26.651699925163488,26.651699925163413,conj,random,26.65169993
structure52,0,random,70.40325031911047,70.40325031911054,conj,random,70.40062532
structure53,0,random,98.4671316443413,98.46643165020448,conj,random,98.46188164
structure54,0,random,243.41345308283442,243.41345308283368,conj,random,243.40610308
structure55,0,random,37.88540763744023,37.885407637440245,conj,random,37.88540764
structure56,0,random,0.6463197149670658,0.6461447164328061,conj,random,0.64474471
structure57,0,random,252.0653847314096,252.06538473141185,conj,random,252.05488473
structure58,0,random,55.68690087633676,55.68672587780252,conj,random,55.68497588
structure59,0,random,31.53762331486617,31.537448316331734,conj,random,31.53569832
structure5,0,random,184.5660263632833,184.56602636328392,conj,random,184.55920138
structure60,0,random,178.06150878627884,178.06150878627818,conj,random,178.05153379
structure61,0,random,63.32641550107593,63.32606550400752,conj,random,63.3234405
structure62,0,random,55.958863259925174,55.95886325992518,conj,random,55.95781326
structure63,0,random,39.36063737099422,39.36063737099432,conj,random,39.35678737
structure64,0,random,142.5871159806699,142.58711598066856,conj,random,142.58484098
structure65,0,random,283.75381647074437,283.7538164707515,conj,random,283.74069147
structure66,0,random,26.05265693571259,26.05265693571257,conj,random,26.05108194
structure67,0,random,245.23355145418583,245.23355145418603,conj,random,245.22655145
structure68,0,random,47.817064237033655,47.81706423703358,conj,random,47.81706424
structure69,0,random,78.7082754045302,78.70827540453045,conj,random,78.7049504
structure6,0,random,67.00702180012054,67.00632180598365,conj,random,67.00282181
structure70,0,random,186.01176717874802,186.01176717874856,conj,random,186.00581718
structure71,0,random,256.26213463761604,256.26213463761883,conj,random,256.24725964
structure72,0,random,49.748849665158616,49.74814967102143,conj,random,49.74447467
structure73,0,random,33.9568256840592,33.956825684059005,conj,random,33.95402569
structure74,0,random,52.80594063331141,52.80576563477726,conj,random,52.80384063
structure75,0,random,39.260651842860696,39.26047684432644,conj,random,39.25872685
structure76,0,random,60.00789181745846,60.007891817458535,conj,random,60.00596682
structure77,0,random,45.45727799711471,45.45657800297768,conj,random,45.455003
structure78,0,random,99.26274876892514,99.26274876892492,conj,random,99.26274877
structure79,0,random,140.28282435164041,140.28282435164004,conj,random,140.27704936
structure7,0,random,204.5001119660126,204.500111966012,conj,random,204.49066197
structure80,0,random,97.23228454892063,97.23088456064687,conj,random,97.22860957
structure81,0,random,45.99997193441655,45.999621937348095,conj,random,45.99419694
structure82,0,random,153.4391516205809,153.43915162058042,conj,random,153.43232664
structure83,0,random,134.68011004060088,134.68011004059997,conj,random,134.67573504
structure84,0,random,86.49824408379027,86.49824408379044,conj,random,86.49491908
structure85,0,random,46.012213532272575,46.01186353520403,conj,random,46.00626354
structure86,0,random,35.67102257984532,35.67102257984528,conj,random,35.66909758
structure87,0,random,215.1741157483275,215.17411574832906,conj,random,215.16309077
structure88,0,random,259.06864230887044,259.06864230887373,conj,random,259.05464231
structure89,0,random,128.8256829100061,128.82533291293726,conj,random,128.82078291
structure8,0,random,56.345016155870475,56.345016155870546,conj,random,56.34029117
structure90,0,random,134.40653190049784,134.4054819092918,conj,random,134.40023192
structure91,0,random,66.29849185074598,66.29779185660911,conj,random,66.29271686
structure92,0,random,98.25744074796155,98.25744074796144,conj,random,98.25394075
structure93,0,random,62.24613635712701,62.246136357127114,conj,random,62.24281136
structure94,0,random,64.86814620562666,64.86762121002393,conj,random,64.86587121
structure95,0,random,81.0110401131297,81.01051511752699,conj,random,81.00876511
structure96,0,random,83.59672976918247,83.59602977504588,conj,random,83.59445478
structure97,0,random,114.66125555977457,114.66125555977438,conj,random,114.65968056
structure98,0,random,126.78705884594814,126.78635885181164,conj,random,126.78093385
structure99,0,random,280.0939165334394,280.09391653344534,conj,random,280.07991653
structure9,0,random,125.42834231584284,125.42834231584308,conj,random,125.42256732
