folder,structure,ion,diffs_0,diffs_1,diffs_2,displacement,forces_0,forces_1,forces_2
random,structure1,ion_0,2.222965117454123,34.746766603186074,-20.738770741650114,0.01,-6.173441938053266,-4.63352155162569,-10.187076297461168
random,structure1,ion_1,11.940633713814464,-35.18923111377319,18.729230762468774,0.01,2.626602416254533,-3.8877739546074026,2.8408613117976067
random,structure1,ion_2,-11.041811942357072,0.017904793335787872,0.8645205696524272,0.01,-8.730807733193513,8.33390049239603,8.506959269351508
random,structure1,ion_3,-11.995718642518227,0.9200944356621221,-6.863766384950054,0.01,-2.6017711666911354,-1.5259568554083407,-2.496842928059744
random,structure1,ion_4,-1.4265896047334081,-2.0534988402715726,33.85979837698585,0.01,6.080889326545237,-6.780150888425485,-1.8093843313382931
random,structure1,ion_5,1.9836370852146956,0.9298212052328836,21.767409483132383,0.01,-6.080889326545236,-6.233584308199388,-5.01609886243097
random,structure1,ion_6,-1.6660210917706308,31.895934520963465,-8.844396626204798,0.01,6.173441938053266,-5.17839633133994,-6.9802304398793185
random,structure1,ion_7,1.6184466183574386,46.55629757785107,13.58902211572115,0.01,-6.147918697341886,-1.0328209783653426,10.264235036848932
random,structure1,ion_8,0.11483576849116162,-26.769422745988436,-20.472883553159704,0.01,-0.028399399119580594,-4.516296004430618,-4.270925797353032
random,structure1,ion_9,-0.37052190529891504,27.07073245256595,18.407150494968505,0.01,0.02470769551181255,1.1309603586096109,0.757966834355664
random,structure1,ion_10,10.234972357082484,-2.3503594271318207,7.2751315822785045,0.01,8.674694888999575,8.482781120481887,8.411762925646146
random,structure1,ion_11,-0.14884165598516574,12.557867211521057,-23.967354171509214,0.01,0.025248196601021046,0.21936554103921166,-17.520674409799415
random,structure1,ion_12,-0.9424984117373469,18.772247893528515,-13.969062487925044,0.01,6.131548366362025,-5.529808880840726,5.707325787302628
random,structure1,ion_13,4.27561984195961,-18.70628406134074,-33.29648912657319,0.01,-6.0571001886207805,5.550888121647855,5.063455666937897
random,structure1,ion_14,-2.726600468699303,-87.21085629860852,15.564174007187148,0.01,6.083195621237919,15.600414119068324,6.728666234081553
random,structure2,ion_0,-4.271150886415853,-1.169838639029308,25.465090475454133,0.01,-0.39124639520473514,-0.004442903638735209,4.392138661408214
random,structure2,ion_1,8.383328016796554,19.38391649760547,21.322627265129768,0.01,8.656418172027507,8.854597155897613,9.157026502202505
random,structure2,ion_2,23.495535906826603,22.78272355279114,-4.003667902728125,0.01,-2.2534004265974894,-2.042378446174032,5.684687337576848
random,structure2,ion_3,-17.749654196173026,2.1823094862838843,3.465855754038216,0.01,-4.014949264905758,0.09637260471166065,0.011139533056364656
random,structure2,ion_4,1.9013586326352083,-19.791018508107072,-12.063492397649611,0.01,0.3238025817699252,-4.01064028423059,-0.7254140442933519
random,structure2,ion_5,10.377734668134053,-15.095659657309568,-1.3827771258007715,0.01,0.9474344460408042,-3.9423286692949837,-0.13445060968598704
random,structure2,ion_6,-8.091939199043452,-1.3857314472062399,-13.289482639825678,0.01,-0.5783803619569147,-0.0867209513775811,-0.7774392180554162
random,structure2,ion_7,1.0790415175947032,0.7661910125762006,28.1431640547936,0.01,0.031555412441341746,0.017073192361449975,1.4187231624286067
random,structure2,ion_8,-0.5094640079647661,22.805547745673493,-32.6041723426755,0.01,-0.011042840687351351,4.130838624556257,-4.459430722379769
random,structure2,ion_9,-8.3137861011636,-9.318363936782248,-25.93575056748989,0.01,-8.73376019630085,-8.686320692085705,-9.18307880995296
random,structure2,ion_10,5.497985583099307,-0.8461431883958426,-42.43762229773722,0.01,0.19237273422166132,-0.024475666069308115,-1.0794199645564546
random,structure2,ion_11,21.57148456590363,-0.6347181978327399,5.885954753961187,0.01,0.783736353714666,0.09765567237276437,0.2513130528868781
random,structure2,ion_12,-27.059641130554724,-0.1173315625138116,-6.932558936844657,0.01,-0.9464706119139216,0.014377232566764975,-0.20714248127533674
random,structure2,ion_13,-5.056777086129216,-5.289588869486295,17.325773043283732,0.01,6.017037855143354,6.032476801912519,-5.6113513400286115
random,structure2,ion_14,-0.734277554178675,-13.71176678638193,37.29376793877179,0.01,-0.023107457792229478,-0.4460836715080976,1.262698940668481
random,structure3,ion_0,31.23150155036285,27.688925397600883,-22.590343450951877,0.01,4.5758293591973285,4.7576212205729265,-4.824212508629949
random,structure3,ion_1,5.033025004613023,-15.415748011844244,-32.12794105543253,0.01,-7.7530081692082,3.8648288747219572,-13.522718965724337
random,structure3,ion_2,24.928535532828278,47.09457599788891,23.17329793643239,0.01,-10.195155655635336,8.095254035209313,-9.87848984176364
random,structure3,ion_3,-37.786152562881625,12.751271747927717,-17.678017002808133,0.01,0.9800219212402541,7.528287232274289,-10.513825391074453
random,structure3,ion_4,-11.682321951960262,-12.870507153519384,-18.169162576199938,0.01,13.643991137028955,-2.1558347317156565,-5.663529386779656
random,structure3,ion_5,-6.535920535648643,1.382743798114916,23.447991503667254,0.01,7.904501693042389,7.780095086937986,12.974544216858739
random,structure3,ion_6,-39.52110093219119,34.14795520199618,26.61100424132883,0.01,7.433351916168424,5.467256149382011,4.128322819815421
random,structure3,ion_7,15.713883170761278,4.048541627517466,-3.962021546956862,0.01,2.759266865680356,1.7590688144048734,-2.3649587509396004
random,structure3,ion_8,-2.566778862833985,-25.89302005691252,24.041781543985508,0.01,-16.404500892037458,-4.7849842227582755,4.13219689817462
random,structure3,ion_9,-8.205020152072962,-21.183033674088847,-22.317667873019786,0.01,8.305457971937262,-26.148944897968967,-9.305315138231238
random,structure3,ion_10,-11.660138495608408,-15.029706973206203,32.33049967418822,0.01,8.187114079215169,7.976485268655051,26.516358768339355
random,structure3,ion_11,8.00543837554244,-1.4165445574633395,13.692741969157396,0.01,-8.25204439934292,-25.471570229463353,9.074153592265718
random,structure3,ion_12,-70.76120372911703,-0.2894377521442948,-5.296063866350664,0.01,3.7475696155839664,6.217537727477263,6.065194619245219
random,structure3,ion_13,69.9623955986226,-22.458752587954223,-0.08942923668655567,0.01,-3.8107610635666087,5.448012798952933,6.230439596667979
random,structure3,ion_14,37.306405136564535,-9.52351759436283,-18.277938460920495,0.01,-11.121634379303565,-0.33311312668237114,-13.048160528224175
